Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
Nikof,Teeqzy,Rifle,,1,3:35,5,92,0
Eryc,x2Jordan,Shotgun,,1,3:28,5,93,0
Inclyde,Julez,Shotgun,,1,3:25,5,94,0
Mushway,Maxalibur,Shotgun,,1,2:57,5,95,0
Tommo,Aydan,Shotgun,,1,2:54,5,96,0
Milan,Aydan,Rifle,,1,2:30,5,97,0
Rizart,Khuna,Smg,,0,0:56,5,98,0
Boyer,,,,,,5,100,0
Cloud,,,,,,5,100,0
TheVic,,,,9,,6,1,2
Ares,TheVic,Shotgun,,9,23:07,6,2,6
Magin,Ares,Shotgun,,8,22:25,6,3,3
Vinny1x,Ares,Shotgun,,8,22:17,6,4,4
Zeek,TheVic,Smg,,8,22:15,6,5,2
Kinstaar,Vinny1x,Shotgun,,8,22:10,6,6,1
Domentos,Magin,Shotgun,,8,22:04,6,7,2
Boyer,Vinny1x,Smg,,8,21:44,6,8,1
Zexrow,Domentos,Shotgun,,7,21:36,6,9,1
Sinooh,Kinstaar,Shotgun,,7,21:35,6,10,0
K1nzell,Boyer,Shotgun,,7,21:27,6,11,1
Madzen,Ares,Shotgun,,7,21:26,6,12,6
Itemm,Vinny1x,Smg,,7,21:06,6,13,1
Fwexy,Magin,Shotgun,,7,21:05,6,14,1
Svennoss,Itemm,Smg,,7,21:04,6,15,3
Motor,Svennoss,Smg,,7,20:49,6,16,1
Blaxou,Svennoss,Shotgun,,7,20:46,6,17,4
Skite,Motor,Shotgun,,7,20:45,6,18,2
Dmo,K1nzell,Smg,,7,20:45,6,19,2
Beehive,Ares,Shotgun,,7,20:43,6,20,2
